longitude	latitude	speed
-122.68018	45.51625	6.420091324200913
-122.464417	45.504542	6.1680244399185336
-122.682307	45.512258	6.168596730245231
-122.681463	45.509678	2.62
-122.681475	45.509657	2
-122.681477	45.509655	0
-122.681493	45.509623	0.8
-122.68156	45.5095	3
-122.681678	45.509275	5.2
-122.681838	45.508962	7.4
-122.68196	45.508622	7.6
-122.682005	45.508313	6.8
-122.68185	45.508093	5.4
-122.681485	45.508025	4.6
-122.680988	45.507995	9
-122.680468	45.507982	8
-122.679963	45.507985	7.8
-122.679435	45.508	8.4
-122.678902	45.508022	6.6
-122.678503	45.508038	7.6
-122.67831	45.508047	2.2
-122.677917	45.50805	5.6
-122.681398	45.509828	5.544444444444444
-122.681488	45.509957	3.2
-122.681813	45.510035	6.25
-122.682043	45.510103	4
-122.682408	45.512102	2.368
-122.682568	45.511832	6.4
-122.682687	45.511623	5
-122.682695	45.511615	0
-122.682695	45.511615	0
-122.682697	45.511612	0.3333333333333333
-122.67652	45.523568	3.056768558951965
-122.682777	45.511482	3.0561555075593954
-122.68293	45.511215	6.4
-122.682187	45.5125	4.314285714285714
-122.683072	45.510965	4.5
-122.683092	45.510937	0.6
-122.683092	45.510937	0
-122.683098	45.510932	0.25
-122.683175	45.510807	3
-122.683312	45.510563	5.6
-122.683202	45.510412	4
-122.683065	45.510373	0.36666666666666664
-122.682868	45.51032	3.4
-122.68255	45.510233	5.2
-122.683092	45.510937	1.873015873015873
-122.676508	45.523613	3.091666666666667
-122.676508	45.523613	0
-122.676505	45.523622	0.5
-122.49197	45.50462	5.621630399480351
-122.491262	45.504625	11.4
-122.490703	45.504635	8.6
-122.490093	45.504647	0.9272727272727272
-122.489818	45.504643	3.8
-122.48929	45.504645	7.8
-122.488575	45.504647	11
-122.4878	45.504648	11.8
-122.48702	45.504652	12.2
-122.486192	45.504657	12.6
-122.485365	45.504657	13
-122.484253	45.504657	1.9777777777777779
-122.483795	45.504657	6.8
-122.483122	45.504653	10
-122.482348	45.504652	12
-122.481567	45.504652	12
-122.480767	45.504652	12.4
-122.479947	45.504648	12.6
-122.479135	45.504648	12.6
-122.478373	45.504647	12
-122.477718	45.504645	10.2
-122.477093	45.504648	1.4857142857142858
-122.476913	45.504645	2.6
-122.476517	45.504642	5.6
-122.475837	45.504635	10.2
-122.47506	45.50463	12
-122.474265	45.504622	12.2
-122.49276	45.504622	5.607843137254902
-122.473427	45.504613	5.75
-122.493555	45.504627	5.871698113207547
-122.49508	45.504633	11.7
-122.514728	45.50423	8.221621621621622
-122.513963	45.50424	12
-122.513192	45.504252	11.8
-122.512355	45.504263	12.8
-122.51152	45.504277	13
-122.510803	45.50429	11.4
-122.51034	45.504307	7.8
-122.510057	45.504307	4.4
-122.50955	45.504312	7.4
-122.508857	45.504318	10.4
-122.508103	45.504328	11.6
-122.507315	45.504338	12
-122.506502	45.504347	12.6
-122.505682	45.504372	12.6
-122.50486	45.504393	12.8
-122.504045	45.504418	12.6
-122.50321	45.504442	13
-122.502112	45.504473	2.6
-122.5018	45.504482	4.2
-122.50119	45.504498	9
-122.500395	45.50452	12
-122.499557	45.504543	13
-122.498702	45.504573	13.2
-122.497863	45.504603	13
-122.497055	45.504625	12.6
-122.496095	45.504648	3.2
-122.495722	45.504645	5.2
-122.494333	45.504625	10.5
-122.472575	45.504605	6.116363636363636
-122.4717	45.5046	13.6
-122.470812	45.504593	13.6
-122.676678	45.52789	5.5579730890352135
-122.676678	45.52789	0
-122.676678	45.527873	0.3333333333333333
-122.676677	45.52768	4
-122.67667	45.527398	6.2
-122.676667	45.52718	5
-122.67667	45.527102	0.32
-122.676653	45.526845	5.6
-122.67664	45.526545	6.6
-122.676645	45.526455	2.2
-122.676645	45.526455	0
-122.676645	45.526453	0
-122.676647	45.526335	2.4
-122.67664	45.526055	6.2
-122.676603	45.525763	6.4
-122.676575	45.525652	1.4
-122.67657	45.525512	2.8
-122.676572	45.525188	7.2
-122.67656	45.524995	4.4
-122.676535	45.524775	4.6
-122.676513	45.524447	7.2
-122.676513	45.524312	3.2
-122.676513	45.524312	0
-122.676513	45.524312	0
-122.676513	45.524278	0.75
-122.676512	45.524087	4.2
-122.676512	45.523827	5.8
-122.676678	45.52789	3.1857142857142855
-122.676592	45.528002	3
-122.67609	45.528045	5.8
-122.67583	45.528038	4
-122.469912	45.504587	5.562891291974958
-122.469017	45.50458	13.8
-122.46812	45.504573	14
-122.466307	45.504557	14
-122.465365	45.504548	14.6
-122.463475	45.504533	14.6
-122.462557	45.504523	14.2
-122.461658	45.504517	14
-122.460738	45.504515	14.2
-122.459823	45.504515	14
-122.458878	45.504517	14.6
-122.457892	45.50452	15.2
-122.456918	45.504517	15
-122.67744	45.508018	6.495432955791012
-122.45597	45.504512	6.510576221735959
-122.454575	45.5045	10.9
-122.453753	45.504502	12.6
-122.45284	45.504503	14
-122.451903	45.504507	14.6
-122.450987	45.504515	14.2
-122.450097	45.504525	13.8
-122.449258	45.504535	13.2
-122.448468	45.504543	12.2
-122.675593	45.527712	5.815371991247265
-122.675588	45.527718	0.5
-122.675563	45.527803	1.8
-122.675547	45.527952	3.4
-122.67573	45.528043	3.2
-122.455217	45.504503	5.750486246179494
-122.677215	45.508017	6.524434719183078
-122.672993	45.50297	8.6
-122.676605	45.50802	9.214285714285714
-122.623012	45.50481	5.656177156177156
-122.623467	45.504803	1.4
-122.623572	45.504802	1.6
-122.62394	45.504803	6
-122.624427	45.504807	7.6
-122.661737	45.506548	6.7196467991169975
-122.661445	45.506552	4.4
-122.660967	45.506543	7
-122.660392	45.506475	9
-122.659815	45.506333	9.4
-122.659293	45.50614	9.2
-122.658873	45.50589	8.6
-122.658725	45.505598	7
-122.658752	45.5053	6.6
-122.658752	45.505017	6.6
-122.658423	45.504922	5.4
-122.657922	45.505008	6.833333333333333
-122.657765	45.505192	5.75
-122.657493	45.505498	6.333333333333333
-122.657232	45.505508	5.25
-122.657135	45.505465	2.4
-122.657135	45.505465	0
-122.657132	45.505465	0
-122.622697	45.504803	6.401913875598086
-122.657003	45.505392	6.452784503631961
-122.622153	45.504798	6.476076555023924
-122.620965	45.504762	9.1
-122.61074	45.505342	6
-122.61088	45.50534	2
-122.61088	45.50534	0
-122.61088	45.50534	1
-122.610947	45.505338	1.6666666666666667
-122.611325	45.505338	6
-122.611803	45.50533	7.4
-122.612338	45.505317	8.2
-122.612873	45.505318	8.4
-122.613445	45.505315	8.8
-122.614032	45.505312	9
-122.614643	45.505305	9.6
-122.615287	45.505303	10
-122.615955	45.5053	10.2
-122.616613	45.505293	10.2
-122.617245	45.505288	9.8
-122.617827	45.505283	8.8
-122.618253	45.505287	6.4
-122.618428	45.505288	2.4
-122.619015	45.505125	1.4857142857142858
-122.61933	45.504875	7.6
-122.619808	45.50476	8
-122.620377	45.504753	8.6
-122.621567	45.504777	9.1
-122.656718	45.505215	6.519138755980861
-122.656303	45.504987	8
-122.655107	45.504903	3.2333333333333334
-122.636973	45.504825	7.556756756756757
-122.636387	45.504825	9
-122.635845	45.504823	8.4
-122.635325	45.504822	8.2
-122.63439	45.504823	2.3125
-122.634023	45.504817	5.4
-122.63343	45.504815	7.666666666666667
-122.633037	45.504815	7.5
-122.63243	45.504817	7.833333333333333
-122.631918	45.504813	7.8
-122.631405	45.50481	8
-122.630903	45.504808	7.8
-122.630423	45.50481	7.4
-122.629955	45.504803	7.2
-122.629465	45.50481	7.6
-122.628938	45.504812	8.2
-122.62838	45.50481	8.4
-122.627813	45.50481	8.8
-122.627227	45.504805	9
-122.626655	45.504805	9
-122.626077	45.504807	8.8
-122.625503	45.504808	9
-122.62496	45.504805	8.4
-122.637572	45.50483	6.818181818181818
-122.638192	45.504833	9.8
-122.638847	45.504838	10
-122.639417	45.504852	8.6
-122.654742	45.504897	7.4
-122.6542	45.504897	8.2
-122.65362	45.504893	9
-122.652995	45.504887	9.6
-122.652325	45.504882	10.2
-122.651643	45.504872	10.6
-122.65096	45.504868	10.6
-122.650253	45.504868	10.8
-122.649532	45.504867	11.2
-122.648832	45.504868	10.8
-122.648202	45.504867	10
-122.610355	45.505347	5.490671641791045
-122.647582	45.504863	5.453860640301318
-122.64589	45.504877	2.68
-122.645523	45.504875	5.4
-122.644972	45.50486	8.2
-122.644335	45.504848	9.8
-122.64371	45.504847	9.6
-122.643043	45.504847	10.2
-122.642392	45.504843	10.2
-122.641737	45.504843	10
-122.641087	45.50484	10.2
-122.640457	45.50484	9.8
-122.639887	45.504843	8.8
-122.646965	45.50486	5.757894736842105
-122.610347	45.505347	5.395833333333333
-122.610087	45.505343	3.8
-122.609563	45.505347	8
-122.67024	45.503063	5.372990353697749
-122.670075	45.503117	2.8
-122.66989	45.503183	3.2
-122.66973	45.503252	3
-122.669573	45.503325	2.8
-122.669373	45.503438	3.6
-122.669138	45.503588	4.8
-122.66885	45.503772	6
-122.668502	45.503997	7.2
-122.668127	45.50424	7.8
-122.667735	45.504498	8.2
-122.667342	45.504753	8.4
-122.666947	45.505008	8.2
-122.666545	45.50527	8.4
-122.666112	45.505555	9.2
-122.665687	45.505842	9.2
-122.665283	45.506113	8.8
-122.664898	45.506373	8.4
-122.664508	45.50655	7.2
-122.66405	45.506585	7.2
-122.663532	45.50657	8
-122.663198	45.506567	0.35294117647058826
-122.662962	45.506562	3
-122.670327	45.50304	3.651282051282051
-122.67033	45.503038	0
-122.67033	45.503038	0
-122.67033	45.503038	0.5
-122.67612	45.507935	5.951048951048951
-122.67573	45.507705	7.8
-122.675488	45.50737	8.2
-122.675363	45.506967	9
-122.67519	45.506538	9.6
-122.67497	45.50609	10.4
-122.674668	45.505678	10.4
-122.674277	45.505305	10.2
-122.674002	45.504913	9.6
-122.673762	45.50452	9.4
-122.673532	45.504108	9.8
-122.662558	45.506553	3.743333333333333
-122.673333	45.503703	3.647457627118644
-122.515505	45.504218	5.992406264831514
-122.672798	45.502687	5.9760994263862335
-122.672417	45.502547	6.6
-122.671727	45.502637	1.9333333333333333
-122.67154	45.502688	3
-122.671378	45.502737	2.8
-122.671235	45.502778	2.4
-122.671178	45.502795	1
-122.67099	45.50285	2.8
-122.670697	45.502935	4.8
-122.670397	45.50302	5
-122.673143	45.503322	3.475
-122.677008	45.508023	9.042857142857143
-122.662097	45.506547	4.652054794520548
-122.575913	45.504668	6.019332161687171
-122.594463	45.505427	6.269565217391304
-122.594492	45.505428	0.1
-122.594877	45.505412	6.2
