longitude	latitude	speed
-122.774088	45.509365	4.769945714755717
-122.773413	45.509188	10.6
-122.77285	45.509107	9
-122.683995	45.522987	6.248221343873518
-122.772693	45.50926	6.276494023904382
-122.772708	45.509362	0.44
-122.772725	45.509525	3.6
-122.772732	45.509735	4.8
-122.772545	45.509923	5
-122.772163	45.509932	5.6
-122.683585	45.522993	6.317408906882591
-122.771698	45.50995	6.388477366255144
-122.771473	45.509962	2.8
-122.5093	45.519212	8.4
-122.508762	45.519217	8.2
-122.508208	45.519218	8.6
-122.507652	45.51922	8.6
-122.513573	45.519203	5.088888888888889
-122.520728	45.519172	9.2
-122.68787	45.522947	4.860590778097983
-122.688462	45.522973	4.5
-122.696458	45.523383	2.43921568627451
-122.696922	45.523407	7.2
-122.697383	45.523428	7
-122.697807	45.523452	6.6
-122.697992	45.523475	2.6
-122.698718	45.523575	0.9833333333333333
-122.699193	45.523645	7.6
-122.699682	45.523715	7.6
-122.700137	45.523785	7.2
-122.700627	45.52387	7.8
-122.700968	45.523948	5.4
-122.701098	45.52398	2
-122.701132	45.523988	0.4
-122.701227	45.52401	0.4
-122.70164	45.524108	7
-122.70219	45.524227	9
-122.70282	45.524272	9.8
-122.703478	45.524273	10.2
-122.704162	45.524255	10.6
-122.704902	45.524227	11.6
-122.705675	45.524187	12
-122.695973	45.523358	4.25
-122.695518	45.523335	7.2
-122.694855	45.523305	2.08
-122.694477	45.523282	5.8
-122.688687	45.522987	2.142857142857143
-122.688858	45.522997	2.8
-122.688923	45.523002	0.8
-122.688938	45.523002	0.2
-122.689155	45.523013	3.4
-122.689447	45.523028	4.6
-122.689747	45.523043	4.6
-122.68996	45.523055	3.2
-122.690387	45.523072	0.4
-122.690767	45.523092	6
-122.688185	45.522962	1.4357142857142857
-122.691222	45.523115	1.6275862068965516
-122.691965	45.523152	5.7
-122.692118	45.52316	2.2
-122.69212	45.52316	0
-122.69212	45.52316	0
-122.69212	45.52316	0
-122.692153	45.523162	1.5
-122.692478	45.523177	5.2
-122.692792	45.523197	4.8
-122.69361	45.523242	2.1333333333333333
-122.694065	45.52326	7.2
-122.691658	45.523137	2.8923076923076922
-122.521227	45.519178	4.698564593301436
-122.52138	45.519182	1.8
-122.522043	45.51917	2.75
-122.79586	45.508638	5.379621280432822
-122.796117	45.508005	14.4
-122.796375	45.507345	15.2
-122.796602	45.506683	14.8
-122.796933	45.50607	14.6
-122.79748	45.505515	14.8
-122.798227	45.505065	15.2
-122.799055	45.504712	15
-122.799912	45.504365	15.4
-122.800798	45.504017	15.8
-122.801685	45.503665	15.6
-122.802512	45.50333	14.6
-122.803295	45.503013	14
-122.80399	45.502742	11.6
-122.804437	45.50257	7.4
-122.804695	45.50247	4
-122.804797	45.502425	0.22857142857142856
-122.8048	45.502423	0
-122.8048	45.502423	0
-122.804813	45.502417	1.5
-122.684322	45.522978	6.210554089709762
-122.795392	45.509915	5.989265536723164
-122.795382	45.510525	13.4
-122.795417	45.511152	13.6
-122.795452	45.511773	14
-122.788875	45.514828	3.0989399293286217
-122.789465	45.515352	14.2
-122.78973	45.515523	3.5
-122.789747	45.515532	0.3
-122.789945	45.515645	5.75
-122.791332	45.516142	11.090909090909092
-122.791865	45.516277	6.5
-122.792162	45.516333	0.22522522522522523
-122.792493	45.516187	6.6
-122.79276	45.515788	10.2
-122.684667	45.52297	6.061963190184049
-122.793088	45.515332	6.077675840978594
-122.79369	45.514538	9.6
-122.55832	45.521432	5.481652622995379
-122.793963	45.514182	5.426423200859291
-122.7941	45.514	5
-122.794203	45.513863	2.6
-122.794268	45.513782	2.8
-122.794455	45.513532	6.2
-122.794678	45.513242	7.4
-122.794958	45.512903	8.6
-122.795135	45.51269	4.4
-122.79341	45.514908	3.1882352941176473
-122.547443	45.51904	5.4510813594232745
-122.546788	45.519045	10
-122.546148	45.51905	10
-122.532507	45.519127	3.429967426710098
-122.531918	45.519127	9
-122.531335	45.519123	9
-122.530758	45.519123	9
-122.530213	45.519127	8.4
-122.52986	45.519127	6
-122.529838	45.519127	2
-122.529838	45.519127	0
-122.529838	45.519127	0
-122.52981	45.519128	0.5
-122.768457	45.508743	14.4
-122.769347	45.508803	13.6
-122.770017	45.508862	9.8
-122.800625	45.491438	5.436003303055326
-122.770252	45.508885	5.446102819237147
-122.769825	45.509395	3.3333333333333335
-122.769588	45.509685	7.4
-122.769605	45.509953	5.6
-122.769927	45.510032	5.4
-122.770075	45.510025	1.8
-122.77027	45.510015	3.2
-122.770547	45.509998	4.8
-122.771022	45.509977	7.4
-122.800912	45.491178	5.4908774978279755
-122.770185	45.509238	5.485306465155332
-122.639543	45.522915	5.271218587008061
-122.645798	45.522957	6.9
-122.646817	45.522937	1.95
-122.72822	45.519655	4.107664233576642
-122.729332	45.519142	10.3
-122.729967	45.518867	11.8
-122.73071	45.518705	12.2
-122.731497	45.518665	12.2
-122.732275	45.518765	12.2
-122.675085	45.52316	4.497607655502392
-122.674578	45.523172	9.75
-122.674085	45.523182	7.6
-122.727357	45.519807	4.497420020639835
-122.673612	45.523198	4.51129363449692
-122.672747	45.523217	6.7
-122.672365	45.523217	5.8
-122.670957	45.523235	1.0380952380952382
-122.67066	45.523225	4.6
-122.670215	45.523192	6.8
-122.669653	45.523155	8.8
-122.668955	45.523142	10.8
-122.668268	45.523127	10.6
-122.667588	45.523115	10.4
-122.673165	45.523208	2.9655172413793105
-122.66691	45.523102	3.2133333333333334
-122.72716	45.519803	4.356761565836299
-122.725953	45.519593	9.6
-122.711567	45.522948	12.476190476190476
-122.712165	45.522803	9.8
-122.712832	45.522708	10.6
-122.713553	45.522667	11.4
-122.714318	45.522635	11.8
-122.715115	45.522585	12.6
-122.71587	45.522377	12.6
-122.716513	45.521985	13.2
-122.717257	45.521683	13.8
-122.726653	45.51976	12.685714285714285
-122.718122	45.521652	12.615384615384615
-122.719753	45.521548	13.2
-122.72034	45.521108	13.2
-122.720857	45.520637	13.2
-122.721352	45.520162	12.8
-122.722363	45.51925	12.8
-122.723053	45.518958	12.6
-122.723847	45.5189	12.6
-122.72459	45.519082	12.2
-122.725267	45.519348	12
-122.71895	45.521727	12.74
-122.646268	45.522942	3.881233595800525
-122.666247	45.523087	3.8239130434782607
-122.664877	45.523067	10.5
-122.652215	45.523625	3.461016949152542
-122.651192	45.523863	3.36
-122.650708	45.524042	8.4
-122.650247	45.524232	8.2
-122.649815	45.5244	7.6
